timepoint,cloudcover,seeing,transparency,lifted_index,rh2m,wind10m,temp2m,prec_type,
3,9,6,3,15,13,{'direction': 'E' 'speed': 2},-8,none,
6,6,6,4,15,13,{'direction': 'SE' 'speed': 2},-9,none,
9,8,3,5,15,13,{'direction': 'S' 'speed': 2},-1,none,
12,9,3,4,15,13,{'direction': 'S' 'speed': 2},0,none,
15,9,3,7,15,14,{'direction': 'S' 'speed': 2},0,none,
18,9,4,5,15,13,{'direction': 'SW' 'speed': 2},-1,none,
21,8,5,6,15,14,{'direction': 'SW' 'speed': 2},-1,none,
24,7,4,5,15,14,{'direction': 'SW' 'speed': 2},-2,none,
27,9,3,5,15,13,{'direction': 'SW' 'speed': 2},-1,none,
30,8,4,5,15,13,{'direction': 'SW' 'speed': 2},-2,none,
33,2,3,5,15,14,{'direction': 'SW' 'speed': 2},0,none,
36,5,3,7,15,14,{'direction': 'SW' 'speed': 2},2,none,
39,9,3,8,15,15,{'direction': 'SW' 'speed': 2},0,none,
42,9,3,8,15,15,{'direction': 'S' 'speed': 2},-1,none,
45,9,5,6,15,13,{'direction': 'SE' 'speed': 2},-1,none,
48,8,6,4,15,13,{'direction': 'SE' 'speed': 2},-3,none,
51,2,5,5,15,13,{'direction': 'SE' 'speed': 2},-2,none,
54,2,4,8,15,15,{'direction': 'SE' 'speed': 2},-1,none,
57,6,3,7,15,14,{'direction': 'SE' 'speed': 2},1,none,
60,8,4,5,15,14,{'direction': 'SE' 'speed': 2},4,none,
63,9,5,4,15,13,{'direction': 'SE' 'speed': 2},2,none,
66,9,5,4,15,13,{'direction': 'SE' 'speed': 2},0,none,
69,8,5,3,15,13,{'direction': 'SE' 'speed': 2},-1,none,
72,7,6,2,15,11,{'direction': 'SE' 'speed': 2},-1,none,
