timepoint,cloudcover,seeing,transparency,lifted_index,rh2m,wind10m,temp2m,prec_type,
3,9,7,3,10,10,{'direction': 'W' 'speed': 3},4,none,
6,8,7,2,15,9,{'direction': 'W' 'speed': 3},1,snow,
9,5,7,2,15,8,{'direction': 'NW' 'speed': 3},3,none,
12,3,7,2,15,6,{'direction': 'NW' 'speed': 3},3,none,
15,2,8,2,15,8,{'direction': 'W' 'speed': 2},-1,none,
18,2,7,2,15,9,{'direction': 'SW' 'speed': 2},-2,none,
21,9,7,2,15,8,{'direction': 'SW' 'speed': 2},-2,none,
24,9,7,2,15,8,{'direction': 'SW' 'speed': 2},-1,none,
27,9,7,3,15,10,{'direction': 'S' 'speed': 2},1,rain,
30,9,7,3,15,9,{'direction': 'W' 'speed': 2},2,rain,
33,9,7,4,15,11,{'direction': 'W' 'speed': 3},2,none,
36,7,7,2,15,6,{'direction': 'NW' 'speed': 3},4,none,
39,5,7,2,15,8,{'direction': 'NW' 'speed': 2},0,none,
42,7,7,3,15,10,{'direction': 'NW' 'speed': 3},-1,none,
45,5,7,3,15,11,{'direction': 'NW' 'speed': 3},-3,none,
48,3,7,2,15,9,{'direction': 'NW' 'speed': 3},-5,none,
51,1,7,2,15,8,{'direction': 'NW' 'speed': 3},-5,none,
54,1,7,2,15,7,{'direction': 'NW' 'speed': 2},-5,none,
57,1,7,2,15,4,{'direction': 'NW' 'speed': 3},-1,none,
60,1,7,1,15,2,{'direction': 'NW' 'speed': 3},0,none,
63,1,7,2,15,5,{'direction': 'W' 'speed': 3},-2,none,
66,1,7,2,15,6,{'direction': 'NW' 'speed': 3},-3,none,
69,2,7,2,15,6,{'direction': 'NW' 'speed': 3},-3,none,
72,5,7,2,15,6,{'direction': 'NW' 'speed': 2},-3,none,
