timepoint,cloudcover,seeing,transparency,lifted_index,rh2m,wind10m,temp2m,prec_type,
3,1,7,3,15,11,{'direction': 'NW' 'speed': 3},-3,none,
6,1,8,3,15,12,{'direction': 'W' 'speed': 2},-4,none,
9,2,6,3,15,10,{'direction': 'SW' 'speed': 2},-3,none,
12,3,6,3,15,10,{'direction': 'SW' 'speed': 3},-1,none,
15,9,7,3,15,12,{'direction': 'W' 'speed': 2},-1,none,
18,9,8,3,15,13,{'direction': 'SW' 'speed': 2},-1,none,
21,9,6,8,15,15,{'direction': 'SW' 'speed': 2},-1,none,
24,9,6,8,15,15,{'direction': 'S' 'speed': 2},-1,snow,
27,9,7,8,15,15,{'direction': 'W' 'speed': 2},-1,snow,
30,7,8,8,15,15,{'direction': 'W' 'speed': 2},-1,snow,
33,7,6,8,15,14,{'direction': 'W' 'speed': 2},-1,none,
36,7,6,5,15,13,{'direction': 'W' 'speed': 2},0,none,
39,7,8,5,15,14,{'direction': 'W' 'speed': 2},0,snow,
42,8,7,3,15,13,{'direction': 'NW' 'speed': 2},-1,snow,
45,9,6,8,15,14,{'direction': 'NE' 'speed': 2},-1,none,
48,8,6,7,15,13,{'direction': 'NE' 'speed': 2},-1,none,
51,6,6,3,15,12,{'direction': 'NE' 'speed': 2},-2,none,
54,5,6,3,15,11,{'direction': 'NE' 'speed': 2},-3,none,
57,8,6,3,15,11,{'direction': 'NE' 'speed': 2},-1,none,
60,8,6,5,15,12,{'direction': 'E' 'speed': 2},-1,none,
63,9,6,8,15,14,{'direction': 'NE' 'speed': 2},-1,none,
66,9,7,8,15,14,{'direction': 'NE' 'speed': 2},-1,none,
69,9,7,8,15,14,{'direction': 'E' 'speed': 2},-1,none,
72,9,7,8,15,15,{'direction': 'NE' 'speed': 2},-1,none,
