timepoint,cloudcover,seeing,transparency,lifted_index,rh2m,wind10m,temp2m,prec_type,
3,2,4,3,15,11,{'direction': 'NE' 'speed': 2},-2,none,
6,2,4,3,15,10,{'direction': 'SE' 'speed': 2},-2,none,
9,3,4,3,15,8,{'direction': 'S' 'speed': 2},-1,none,
12,6,4,3,15,9,{'direction': 'S' 'speed': 2},1,none,
15,9,4,2,15,8,{'direction': 'S' 'speed': 2},0,none,
18,9,4,3,15,10,{'direction': 'W' 'speed': 2},-1,none,
21,9,4,2,15,9,{'direction': 'W' 'speed': 2},-1,none,
24,6,4,4,15,11,{'direction': 'W' 'speed': 2},-1,none,
27,2,3,5,15,12,{'direction': 'W' 'speed': 2},0,none,
30,5,4,4,15,12,{'direction': 'SW' 'speed': 2},-1,none,
33,2,3,4,15,11,{'direction': 'W' 'speed': 2},1,none,
36,2,4,2,15,7,{'direction': 'W' 'speed': 2},4,none,
39,9,4,2,15,8,{'direction': 'SW' 'speed': 2},2,none,
42,6,5,2,15,9,{'direction': 'NW' 'speed': 2},0,none,
45,1,5,3,15,11,{'direction': 'SE' 'speed': 2},-1,none,
48,1,5,4,15,11,{'direction': 'E' 'speed': 2},-1,none,
51,2,5,4,15,12,{'direction': 'E' 'speed': 2},0,none,
54,3,5,4,15,11,{'direction': 'SE' 'speed': 2},-1,none,
57,5,3,4,15,11,{'direction': 'SE' 'speed': 2},2,none,
60,7,3,3,15,10,{'direction': 'S' 'speed': 2},4,none,
63,9,5,3,15,10,{'direction': 'S' 'speed': 2},4,none,
66,9,5,3,15,11,{'direction': 'SE' 'speed': 2},2,none,
69,9,5,3,15,11,{'direction': 'SW' 'speed': 2},2,none,
72,7,5,3,15,11,{'direction': 'SW' 'speed': 2},1,none,
